"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2018","8.310","8.290","8.530","7.830","171.51K","3.88%"
"Oct 17, 2018","8.000","8.070","8.330","7.900","138.45K","-1.11%"
"Oct 16, 2018","8.090","8.480","8.650","7.810","193.78K","-3.92%"
"Oct 15, 2018","8.420","8.990","9.030","8.300","142.11K","-7.06%"
"Oct 12, 2018","9.060","10.110","10.250","8.900","145.34K","-8.67%"
"Oct 11, 2018","9.920","9.920","10.200","9.540","102.84K","-1.98%"
"Oct 10, 2018","10.120","10.210","10.470","9.910","53.87K","-0.98%"
"Oct 09, 2018","10.220","10.010","10.680","9.620","66.35K","2.20%"
"Oct 08, 2018","10.000","10.810","10.810","9.320","263.05K","-8.34%"
"Oct 05, 2018","10.910","10.650","12.030","10.250","126.34K","2.44%"
"Oct 04, 2018","10.650","11.300","12.320","10.250","151.48K","-6.08%"
"Oct 03, 2018","11.340","11.050","12.690","10.940","226.09K","2.62%"
"Oct 02, 2018","11.050","11.800","12.000","9.940","458.55K","-4.33%"
"Oct 01, 2018","11.550","8.690","11.720","8.620","623.15K","35.25%"
"Sep 28, 2018","8.540","8.230","8.710","8.060","138.89K","1.67%"
"Sep 27, 2018","8.400","7.340","9.390","7.260","584.51K","17.48%"
"Sep 26, 2018","7.150","7.330","7.780","7.030","128.24K","-0.83%"
"Sep 25, 2018","7.210","6.820","7.800","6.170","267.69K","6.34%"
"Sep 24, 2018","6.780","7.710","8.010","6.710","185.23K","-10.79%"
"Sep 21, 2018","7.600","8.100","8.310","7.290","725.23K","-5.82%"
